序号,记录时间,温度(°C),湿度(%),PM2.5(µg/m³),CO₂(ppm)
1,2026-03-09 16:12:36,23.9,55.0,-9.4,669.9
2,2026-03-09 16:12:38,23.6,55.5,5.0,675.4
3,2026-03-09 16:12:40,24.0,54.6,100.7,683.9
4,2026-03-09 16:12:42,24.5,55.6,80.0,685.2
5,2026-03-09 16:12:44,24.8,55.6,78.7,682.9
6,2026-03-09 16:12:46,25.4,55.3,77.2,690.1
7,2026-03-09 16:12:48,25.5,55.0,75.7,693.4
8,2026-03-09 16:12:50,25.2,54.9,-7.8,677.1
9,2026-03-09 16:12:52,25.6,54.7,5.0,692.4
10,2026-03-09 16:12:54,25.4,53.8,5.3,689.3
11,2026-03-09 16:12:56,25.3,53.3,7.8,674.9
12,2026-03-09 16:12:58,25.1,53.0,5.6,665.1
13,2026-03-09 16:13:00,25.3,53.2,7.2,666.6
14,2026-03-09 16:13:02,25.5,53.4,9.0,651.7
15,2026-03-09 16:13:04,25.7,54.4,9.0,655.3
16,2026-03-09 16:13:06,26.1,54.4,11.2,657.3
17,2026-03-09 16:13:08,25.7,53.6,10.8,642.5
18,2026-03-09 16:13:10,25.8,54.4,14.1,632.2
19,2026-03-09 16:13:12,25.8,53.9,13.4,618.2
20,2026-03-09 16:13:14,25.6,53.6,11.4,633.0
21,2026-03-09 16:13:16,26.0,52.9,11.0,616.8
22,2026-03-09 16:13:18,26.1,53.8,11.4,614.1
23,2026-03-09 16:13:20,25.7,53.1,10.2,620.7
24,2026-03-09 16:13:22,26.2,53.9,12.2,607.0
25,2026-03-09 16:13:24,26.7,54.7,12.9,629.8
26,2026-03-09 16:13:26,26.6,54.9,14.0,644.0
27,2026-03-09 16:13:28,26.6,54.0,12.1,643.6
28,2026-03-09 16:13:30,26.3,54.5,11.8,651.7
29,2026-03-09 16:13:32,26.5,55.4,13.3,659.6
30,2026-03-09 16:13:34,26.8,54.9,15.8,681.8
31,2026-03-09 16:13:36,45.6,55.7,15.8,676.3
32,2026-03-09 16:13:38,38.0,55.4,18.5,664.6
33,2026-03-09 16:13:40,38.0,54.9,18.5,670.8
34,2026-03-09 16:13:42,37.7,55.8,21.8,686.1
35,2026-03-09 16:13:44,37.4,55.2,24.1,693.7
36,2026-03-09 16:13:46,37.0,54.6,24.6,710.8
37,2026-03-09 16:13:48,36.7,54.2,24.4,700.9
38,2026-03-09 16:13:50,36.8,53.5,27.3,697.9
39,2026-03-09 16:13:52,36.5,54.0,26.1,714.4
40,2026-03-09 16:13:54,15.0,53.8,28.1,698.3
41,2026-03-09 16:13:56,18.0,54.0,28.3,699.4
42,2026-03-09 16:13:58,18.0,54.5,31.2,692.9
43,2026-03-09 16:14:00,18.5,53.5,28.9,678.8
44,2026-03-09 16:14:02,18.8,53.7,31.1,668.4
45,2026-03-09 16:14:04,19.3,54.0,32.3,674.1
46,2026-03-09 16:14:06,19.7,53.7,32.5,682.0
47,2026-03-09 16:14:08,19.6,54.1,32.0,668.6
48,2026-03-09 16:14:10,19.7,55.0,34.1,674.7
49,2026-03-09 16:14:12,20.3,55.2,32.6,668.4
50,2026-03-09 16:14:14,20.6,54.8,32.6,655.5
51,2026-03-09 16:14:16,20.9,55.2,33.2,669.2
52,2026-03-09 16:14:18,21.4,55.8,34.2,1349.3
53,2026-03-09 16:14:20,21.3,56.2,37.0,1200.0
54,2026-03-09 16:14:22,21.4,56.5,36.0,1192.6
55,2026-03-09 16:14:24,21.7,84.8,33.7,1196.8
56,2026-03-09 16:14:26,21.5,75.0,36.5,1181.3
57,2026-03-09 16:14:28,21.9,74.1,37.5,1162.1
58,2026-03-09 16:14:30,22.0,74.3,35.2,1138.7
59,2026-03-09 16:14:32,21.7,74.1,35.5,1128.8
60,2026-03-09 16:14:34,22.3,74.3,38.1,1139.8
61,2026-03-09 16:14:36,22.7,74.5,37.9,1133.2
62,2026-03-09 16:14:38,22.8,75.0,35.4,1114.2
63,2026-03-09 16:14:40,22.6,74.5,-4.9,1127.5
64,2026-03-09 16:14:42,22.5,29.1,5.0,1116.8
65,2026-03-09 16:14:44,22.6,35.0,7.3,1126.2
66,2026-03-09 16:14:46,22.9,35.2,7.9,264.8
67,2026-03-09 16:14:48,22.7,35.0,7.4,400.0
68,2026-03-09 16:14:50,22.7,35.6,10.0,400.0
69,2026-03-09 16:14:52,15.9,35.7,10.1,401.4
70,2026-03-09 16:14:54,18.0,35.2,9.1,421.3
71,2026-03-09 16:14:56,18.1,35.0,11.7,419.3
72,2026-03-09 16:14:58,18.0,35.8,13.6,432.6
73,2026-03-09 16:15:00,18.4,35.4,12.5,452.6
74,2026-03-09 16:15:02,18.3,36.6,10.9,447.2
75,2026-03-09 16:15:04,18.2,37.2,12.4,459.8
76,2026-03-09 16:15:06,18.8,37.4,11.0,452.9
77,2026-03-09 16:15:08,18.6,38.3,8.9,457.1
78,2026-03-09 16:15:10,18.5,39.3,10.5,456.1
79,2026-03-09 16:15:12,18.5,38.7,14.0,449.1
80,2026-03-09 16:15:14,18.3,39.8,16.8,456.9
